url,id,is_classification,groundtruth,error_type
https://stackoverflow.com/questions/74669249,74669249,0,11,1
https://stackoverflow.com/questions/74200607,74200607,0,"0,1,2",3
https://stackoverflow.com/questions/73567385,73567385,1,9,4
https://stackoverflow.com/questions/73308371,73308371,1,3,1
https://stackoverflow.com/questions/73275569,73275569,1,9,3
https://stackoverflow.com/questions/72965428,72965428,1,5,1
https://stackoverflow.com/questions/72802464,72802464,1,3,3
https://stackoverflow.com/questions/72744278,72744278,1,5,3
https://stackoverflow.com/questions/72676542,72676542,1,13,1
https://stackoverflow.com/questions/71715697,71715697,1,"11,12,13,14",4
https://stackoverflow.com/questions/70650848,70650848,1,6,1
https://stackoverflow.com/questions/70589997,70589997,1,9,1
https://stackoverflow.com/questions/70148149,70148149,1,6,1
https://stackoverflow.com/questions/69901379,69901379,0,"1,2,3,4",3
https://stackoverflow.com/questions/69787272,69787272,1,2,1
https://stackoverflow.com/questions/68938619,68938619,1,1,1
https://stackoverflow.com/questions/68751439,68751439,1,3,3
https://stackoverflow.com/questions/68458462,68458462,0,"0,1,2",3
https://stackoverflow.com/questions/68321264,68321264,1,6,3
https://stackoverflow.com/questions/68101077,68101077,1,2,1
https://stackoverflow.com/questions/67529687,67529687,1,21,1
https://stackoverflow.com/questions/66840108,66840108,0,2,1
https://stackoverflow.com/questions/66602662,66602662,1,5,1
https://stackoverflow.com/questions/66407123,66407123,1,2,1
https://stackoverflow.com/questions/66235657,66235657,1,6,1
https://stackoverflow.com/questions/66087653,66087653,1,6,1
https://stackoverflow.com/questions/65777704,65777704,1,"0,1,2,3,4",1
https://stackoverflow.com/questions/65669308,65669308,1,3,1
https://stackoverflow.com/questions/64413907,64413907,1,2,1
https://stackoverflow.com/questions/64395424,64395424,1,2,1
https://stackoverflow.com/questions/64387251,64387251,1,1,1
https://stackoverflow.com/questions/64237179,64237179,1,"27,28,29",1
https://stackoverflow.com/questions/63212385,63212385,1,15,1
https://stackoverflow.com/questions/62957334,62957334,1,"0,2,4",1
https://stackoverflow.com/questions/62440336,62440336,0,5,1
https://stackoverflow.com/questions/62313327,62313327,0,1,1
https://stackoverflow.com/questions/62068109,62068109,1,9,1
https://stackoverflow.com/questions/62055783,62055783,1,10,1
https://stackoverflow.com/questions/61997645,61997645,1,4,1
https://stackoverflow.com/questions/61886777,61886777,1,6,1
https://stackoverflow.com/questions/61763616,61763616,1,8,1
https://stackoverflow.com/questions/61498304,61498304,1,13,1
https://stackoverflow.com/questions/61274792,61274792,1,4,1
https://stackoverflow.com/questions/61234347,61234347,1,"0,1,2,3,4,5,6",2
https://stackoverflow.com/questions/60874661,60874661,1,14,1
https://stackoverflow.com/questions/60831731,60831731,0,"0,1",1
https://stackoverflow.com/questions/60801900,60801900,0,5,1
https://stackoverflow.com/questions/60766775,60766775,0,6,1
https://stackoverflow.com/questions/60574843,60574843,0,3,1
https://stackoverflow.com/questions/60508218,60508218,1,7,3
https://stackoverflow.com/questions/60355380,60355380,1,13,1
https://stackoverflow.com/questions/59758722,59758722,0,2,1
https://stackoverflow.com/questions/59278771,59278771,1,"0,1",2
https://stackoverflow.com/questions/59078187,59078187,0,2,1
https://stackoverflow.com/questions/58844149,58844149,1,9,1
https://stackoverflow.com/questions/58609115,58609115,1,"0,1,2",1
https://stackoverflow.com/questions/58572274,58572274,1,2,3
https://stackoverflow.com/questions/58392266,58392266,1,21,1
https://stackoverflow.com/questions/58333926,58333926,1,6,1
https://stackoverflow.com/questions/58064701,58064701,1,2,1
https://stackoverflow.com/questions/58055105,58055105,1,2,1
https://stackoverflow.com/questions/58051767,58051767,0,2,1
https://stackoverflow.com/questions/58043002,58043002,1,"0,2,4",2
https://stackoverflow.com/questions/57943425,57943425,1,22,1
https://stackoverflow.com/questions/57516678,57516678,1,2,1
https://stackoverflow.com/questions/57407973,57407973,1,"0,1,3,5,7,9",2
https://stackoverflow.com/questions/57397440,57397440,1,4,1
https://stackoverflow.com/questions/57326611,57326611,1,1,1
https://stackoverflow.com/questions/56774954,56774954,0,3,1
https://stackoverflow.com/questions/56452176,56452176,0,2,1
https://stackoverflow.com/questions/56218256,56218256,1,3,1
https://stackoverflow.com/questions/55198221,55198221,1,8,1
https://stackoverflow.com/questions/54811239,54811239,0,2,1
https://stackoverflow.com/questions/54738769,54738769,0,6,1
https://stackoverflow.com/questions/54282951,54282951,1,4,1
https://stackoverflow.com/questions/54064299,54064299,1,6,1
https://stackoverflow.com/questions/53749895,53749895,0,2,1
https://stackoverflow.com/questions/53700537,53700537,1,6,1
https://stackoverflow.com/questions/52983831,52983831,1,2,1
https://stackoverflow.com/questions/52566823,52566823,0,2,1
