id,time,msg,res
74669249,171.0703576,no report,0
74200607,,crash,0
73567385,,crash,0
73308371,3.66569376,no report,0
73275569,273.6431777,no report,0
72965428,,crash,0
72802464,,crash,0
72744278,7.472336054,no report,0
72676542,48.35101438,no report,0
71715697,259.9503169,"	Batch 40 layer 11: Vanishing Gradient Problem in delta Weights, terminating training		 --- 259.8520269393921 seconds ---		 Add/delete layer or change sigmoid activation function 	",1
70650848,,crash,0
70589997,,crash,0
70148149,7.386930466,"	Batch 0 layer 6: Numerical Error in delta Weights, terminating training		 --- 7.248884201049805 seconds ---	",1
69901379,,crash,0
69787272,0.674224615,"	 Batch 0 layer 2: Numerical Problem Forward, terminating training 		 --- 0.621394157409668 seconds ---		 Normalize the data 	",1
68938619,2.841528177,"	Batch 0 layer 1: Numerical Error in delta Weights, terminating training		 --- 2.7478926181793213 seconds ---	",1
68751439,,crash,0
68458462,3.87399292,"	Batch 19: Accurcy Not Increasing, terminating training		 --- 3.815232992172241 seconds ---		 Normalize the data 	",0
68321264,6.41894412,"	Batch 0 layer 6: Numerical Error in delta Weights, terminating training		 --- 6.368808031082153 seconds ---	",1
68101077,5.444186449,"	Batch 0 layer 2: Vanishing Gradient Problem in delta Weights, terminating training		 --- 5.377039194107056 seconds ---		 Learning Rate 	",1
67529687,37.17591047,"	Batch 1 layer 18: Vanishing Gradient Problem in delta Weights, terminating training		 --- 37.02775192260742 seconds ---		 Add/delete layer or change sigmoid activation function 	",0
66840108,0.700101376,"	Batch 0: Invalid accuracy, terminating training		 --- 0.639840841293335 seconds ---	 	 Please change the activation function at layer : 2 	",1
66602662,,crash,0
66407123,0.744080305,"	Batch 0 layer 2: Numerical Error in delta Weights, terminating training		 --- 0.6994502544403076 seconds ---	",1
66235657,118.3567522,no report,0
66087653,,crash,0
65777704,2.285429478,"	Batch 0 layer 1: Vanishing Gradient Problem in delta Weights, terminating training		 --- 2.244300365447998 seconds ---		 Learning Rate 	",1
65669308,,crash,0
64413907,2.819923401,"	 Batch 0 layer 1: Numerical Problem Forward, terminating training 		 --- 2.7670297622680664 seconds ---		 Normalize the data 	",0
64395424,0.689459562,"	 Batch 0 layer 0: Numerical Problem Forward, terminating training 		 --- 0.6489856243133545 seconds ---		Learning Rate 	",0
64387251,14.37044811,"	Batch 4 layer 0: Unchange Tensor in forward, terminating training		 --- 12.22583794593811 seconds ---	 	 Learning Rate 	",0
64237179,1088.337282,"	Batch 0 layer 27: Numerical Error in delta Weights, terminating training		 --- 1087.4364926815033 seconds ---		 Please change the activaton function at layer: 28 	",1
63212385,,crash,0
62957334,6.939199448,"	 Batch 0 layer 7: Numerical Problem Forward, terminating training 		 --- 6.856816053390503 seconds ---		 Normalize the data 	",0
62440336,10.88956928,"	Batch 0: Invalid accuracy, terminating training		 --- 10.815932035446167 seconds ---	 	 Please change the activation function at layer : 5 	",1
62313327,10.75555801,no report,0
62068109,17.3855207,no report,0
62055783,134.661171,"	Batch 33 layer 10: Numerical Error in delta Weights, terminating training		 --- 134.56501936912537 seconds ---	",1
61997645,3.603375435,"	Batch 0 layer 4: Numerical Error in delta Weights, terminating training		 --- 3.5493311882019043 seconds ---	",1
61886777,6.965332508,no report,0
61763616,,crash,0
61498304,5.283446312,"	Batch 3 layer 13: Numerical Error in delta Weights, terminating training		 --- 5.205521821975708 seconds ---	",1
61274792,,crash,0
61234347,1.238080263,no report,0
60874661,14.45105267,"	Batch 0 layer 14:  Out of Rang Problem, terminating training		 --- 14.393624067306519 seconds ---	 	 change the activation function to softmax 	",1
60831731,3.134903669,no report,0
