id,res,time,msg,,
74669249,0,2.662797689,"
Learner ==> A last layer activation is required to transform the logits into probabilities for classification problem(bin wrong last layer activation)., The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-pre-activation

Layer 1 ==> Batchnorm layer should be before the dropout.

Layer 3 ==> Batchnorm layer should be before the dropout.

Layer 5 ==> Batchnorm layer should be before the dropout.",,
74200607,0,2.444930077,"
Learner ==> The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-pre-activation",,
73567385,0,0.177592993,"
Error: input file is not valid or not match with selected parser type",,
73308371,0,2.496472359,"
Learner ==> A last layer activation is required to transform the logits into probabilities for classification problem(bin missing sigmoid).",,
73275569,0,2.732789993,"
Learner ==> A last layer activation is required to transform the logits into probabilities for classification problem(bin wrong last layer activation).

Layer 1 ==> The number of feature maps should be gradually expanded while the feature map area is retracted.

Layer 4 ==> The number of feature maps should be gradually expanded while the feature map area is retracted.",,
72965428,0,2.540700912,"
Architecture ==> Max-pooling is the preferred down-sampling strategy(lack of pooling).

Layer 1 ==> Activations for learning layers (i.e., convolution and fully-connected layer) should be a non-linear function.

Layer 4 ==> Multiple and redundant connected activations are not allowed.",,
72802464,0,2.454277039,"
Learner ==> A last layer activation is required to transform the logits into probabilities for classification problem(bin wrong last layer activation).",,
72744278,0,2.619077682,"
Learner ==> A last layer activation is required to transform the logits into probabilities for classification problem(bin wrong last layer activation).",,
72676542,1,2.674985886,"
Learner ==> The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-post_activationArchitecture ==> Max-pooling is the preferred down-sampling strategy(lack of pooling).

Layer 1 ==> A learning layer should no longer include a bias when it is followed by batchnorm.

Layer 5 ==> A learning layer should no longer include a bias when it is followed by batchnorm.

Layer 9 ==> A learning layer should no longer include a bias when it is followed by batchnorm.

Layer 13 ==> A learning layer should no longer include a bias when it is followed by batchnorm.",,
71715697,0,3.008030176,"
Learner ==> A last layer activation is required to transform the logits into probabilities for classification problem(bin wrong last layer activation).

Layer 1 ==> Deep CNN should not apply pooling after every convolution.

Layer 4 ==> Deep CNN should not apply pooling after every convolution.

Layer 7 ==> Deep CNN should not apply pooling after every convolution.

Layer 10 ==> Deep CNN should not apply pooling after every convolution.",,
70650848,0,2.551759005,"
Learner ==> The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-post_activation

Layer 1 ==> A learning layer should no longer include a bias when it is followed by batchnorm.

Layer 5 ==> A learning layer should no longer include a bias when it is followed by batchnorm.",,
70589997,0,2.543722868,"
Learner ==> The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-post_activation

Layer 1 ==> The local window size for spatial filtering should generally increase or stay the same throughout the convolutional layers.

Layer 4 ==> The local window size for spatial filtering should generally increase or stay the same throughout the convolutional layers.",,
70148149,1,2.459459782,"
Learner ==> A last layer activation is required to transform the logits into probabilities for classification problem(bin missing sigmoid)., A last layer activation is required to transform the logits into probabilities for classification problem(bin wrong last layer activation)., The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-post_activationArchitecture ==> Max-pooling is the preferred down-sampling strategy(lack of pooling).

Layer 1 ==> A processing layer that operates on a N-dimensional tensors, should receive a valid input tensor with exactly N-dimensional shape(missing flatten ).",,
69901379,0,2.603509903,"
There is no identified fault in the DNN script",,
69787272,0,2.338168383,"
There is no identified fault in the DNN script",,
68938619,0,0.175442219,"
Error: input file is not valid or not match with selected parser type",,
68751439,0,0.177353382,"
Error: input file is not valid or not match with selected parser type",,
68458462,1,2.414042234,"
Learner ==> The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-pre-activation

Layer 1 ==> The area of feature maps and the width of fully-connected units should be progressively decreasing over the layers.

Layer 3 ==> The area of feature maps and the width of fully-connected units should be progressively decreasing over the layers.",,
68321264,0,0.17972517,"
Error: input file is not valid or not match with selected parser type",,
68101077,0,2.384658813,"
There is no identified fault in the DNN script",,
67529687,0,3.032202721,"
Learner ==> The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-post_activationArchitecture ==> Max-pooling is the preferred down-sampling strategy(lack of pooling).

Layer 24 ==> The area of feature maps and the width of fully-connected units should be progressively decreasing over the layers.

Layer 26 ==> The area of feature maps and the width of fully-connected units should be progressively decreasing over the layers.",,
66840108,0,2.32378006,"
There is no identified fault in the DNN script",,
66602662,0,2.470199108,"
Learner ==> The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-post_activation",,
66407123,0,2.454114914,"
Learner ==> A last layer activation is required to transform the logits into probabilities for classification problem(bin missing sigmoid)., A last layer activation is required to transform the logits into probabilities for classification problem(bin wrong last layer activation)., The loss should be correctly defined and connected to the layer in accordance with its input conditions (i.e.shape and type)-post_activation",,
66235657,0,2.588487864,"
There is no identified fault in the DNN script",,
