id,0.1_100_7_tarantula,0.1_100_7_ochiai,0.1_100_7_D_star,0.1_100_7_Op2,0.1_100_7_Barinel,0.1_100_7_time,0.1_200_7_tarantula,0.1_200_7_ochiai,0.1_200_7_D_star,0.1_200_7_Op2,0.1_200_7_Barinel,0.1_200_7_time,0.1_500_7_tarantula,0.1_500_7_ochiai,0.1_500_7_D_star,0.1_500_7_Op2,0.1_500_7_Barinel,0.1_500_7_time,0.1_1000_7_tarantula,0.1_1000_7_ochiai,0.1_1000_7_D_star,0.1_1000_7_Op2,0.1_1000_7_Barinel,0.1_1000_7_time,0.1_2000_7_tarantula,0.1_2000_7_ochiai,0.1_2000_7_D_star,0.1_2000_7_Op2,0.1_2000_7_Barinel,0.1_2000_7_time
74669249.0,1.0,1.0,1.0,1.0,1.0,6.25749945640564,1.0,1.0,1.0,1.0,1.0,7.876647233963013,1.0,1.0,1.0,1.0,1.0,14.851847171783447,1.0,1.0,1.0,1.0,1.0,30.686193704605103,1.0,1.0,1.0,1.0,1.0,51.30620527267456
74200607.0,0.0,0.0,0.0,0.0,0.0,12.113597631454468,0.0,0.0,0.0,0.0,0.0,10.43699336051941,0.0,0.0,0.0,0.0,0.0,10.058173179626465,0.0,0.0,0.0,0.0,0.0,12.957335710525513,0.0,0.0,0.0,0.0,0.0,10.8197603225708
73567385.0,0.0,0.0,0.0,0.0,0.0,389.2378568649292,0.0,0.0,0.0,0.0,0.0,504.7080762386322,0.0,0.0,0.0,0.0,0.0,1133.4148645401,0.0,0.0,0.0,0.0,0.0,2143.738869905472,0.0,0.0,0.0,0.0,0.0,4110.2917268276215
73308371.0,0.0,1.0,1.0,1.0,0.0,0.1776413917541504,0.0,1.0,1.0,1.0,0.0,0.14210891723632812,0.0,1.0,1.0,1.0,0.0,0.14313483238220215,0.0,1.0,1.0,1.0,0.0,0.16468071937561035,0.0,1.0,1.0,1.0,0.0,0.1526963710784912
73275569.0,0.0,0.0,0.0,0.0,0.0,5.833277702331543,0.0,0.0,0.0,0.0,0.0,5.965116500854492,0.0,0.0,0.0,0.0,0.0,12.02145004272461,0.0,0.0,0.0,0.0,0.0,27.53535485267639,0.0,0.0,0.0,0.0,0.0,39.58085656166077
72965428.0,0.0,0.0,0.0,0.0,0.0,50.36586809158325,0.0,0.0,0.0,0.0,0.0,88.46281552314758,0.0,0.0,0.0,0.0,0.0,191.00914931297302,0.0,0.0,0.0,0.0,0.0,437.20521092414856,0.0,0.0,0.0,0.0,0.0,813.2189738750458
72802464.0,0.0,0.0,0.0,0.0,0.0,31.471234560012817,0.0,0.0,0.0,0.0,0.0,53.90748047828674,0.0,0.0,0.0,0.0,0.0,113.94643139839172,0.0,0.0,0.0,0.0,0.0,178.7470235824585,0.0,0.0,0.0,0.0,0.0,248.20906782150269
72744278.0,0.0,0.0,0.0,0.0,0.0,0.573591947555542,0.0,0.0,0.0,0.0,0.0,0.7906355857849121,0.0,0.0,0.0,0.0,0.0,1.8893728256225586,0.0,0.0,0.0,0.0,0.0,4.095518589019775,0.0,0.0,0.0,0.0,0.0,6.8961708545684814
72676542.0,1.0,1.0,1.0,1.0,1.0,2.8125545978546143,1.0,1.0,1.0,1.0,1.0,2.9125566482543945,1.0,1.0,1.0,1.0,1.0,6.5228657722473145,1.0,1.0,1.0,1.0,1.0,15.321362018585205,1.0,1.0,1.0,1.0,1.0,26.233349323272705
71715697.0,0.0,0.0,0.0,0.0,0.0,6.170677185058594,0.0,0.0,0.0,0.0,0.0,8.329159021377563,0.0,0.0,0.0,0.0,0.0,18.427934169769287,0.0,0.0,0.0,0.0,0.0,39.21560883522034,0.0,0.0,0.0,0.0,0.0,58.56124997138977
70650848.0,1.0,1.0,1.0,1.0,1.0,0.13463187217712402,1.0,1.0,1.0,1.0,1.0,0.1119070053100586,1.0,1.0,1.0,1.0,1.0,0.1185615062713623,1.0,1.0,1.0,1.0,1.0,0.16773772239685059,1.0,1.0,1.0,1.0,1.0,0.11541485786437988
70589997.0,1.0,1.0,1.0,1.0,1.0,0.6382284164428711,1.0,1.0,1.0,1.0,1.0,0.8842551708221436,1.0,1.0,1.0,1.0,1.0,1.8336143493652344,1.0,1.0,1.0,1.0,1.0,4.552369594573975,1.0,1.0,1.0,1.0,1.0,6.9187304973602295
70148149.0,0.0,1.0,0.0,1.0,1.0,0.40550804138183594,1.0,1.0,0.0,1.0,1.0,0.4710206985473633,1.0,1.0,0.0,1.0,1.0,0.9332714080810547,1.0,1.0,0.0,1.0,1.0,1.9250833988189697,1.0,1.0,0.0,1.0,1.0,2.6813762187957764
69901379.0,0.0,0.0,0.0,0.0,0.0,0.19481325149536133,0.0,0.0,0.0,0.0,0.0,0.12330079078674316,0.0,0.0,0.0,0.0,0.0,0.1318349838256836,0.0,0.0,0.0,0.0,0.0,0.16567540168762207,0.0,0.0,0.0,0.0,0.0,0.12870240211486816
69787272.0,0.0,0.0,0.0,0.0,0.0,0.2186908721923828,0.0,0.0,0.0,0.0,0.0,0.17068719863891602,0.0,0.0,0.0,0.0,0.0,0.1732957363128662,0.0,0.0,0.0,0.0,0.0,0.26376771926879883,0.0,0.0,0.0,0.0,0.0,0.17879700660705566
68938619.0,1.0,1.0,1.0,1.0,1.0,0.2771871089935303,1.0,1.0,1.0,1.0,1.0,0.22764229774475098,1.0,1.0,1.0,1.0,1.0,0.24052906036376953,1.0,1.0,1.0,1.0,1.0,0.4849662780761719,1.0,1.0,1.0,1.0,1.0,0.2541797161102295
68751439.0,0.0,1.0,0.0,1.0,0.0,0.17947173118591309,0.0,1.0,0.0,1.0,0.0,0.15920472145080566,0.0,1.0,0.0,1.0,0.0,0.16259527206420898,0.0,1.0,0.0,1.0,0.0,0.19314265251159668,0.0,1.0,0.0,1.0,0.0,0.16663193702697754
68458462.0,1.0,1.0,1.0,1.0,1.0,0.09408855438232422,1.0,1.0,1.0,1.0,1.0,0.06418538093566895,1.0,1.0,1.0,1.0,1.0,0.06369256973266602,1.0,1.0,1.0,1.0,1.0,0.09154629707336426,1.0,1.0,1.0,1.0,1.0,0.06573939323425293
